epoch,loss,val_loss
1,0.01876240409910679,0.013791050761938095
2,0.005675002466887236,0.009724531322717667
3,0.004749188665300608,0.008109353482723236
4,0.004329367075115442,0.006842835806310177
5,0.004101978614926338,0.006230897735804319
6,0.003937768749892712,0.005799084436148405
7,0.003796445904299617,0.0054421196691691875
8,0.0036653769202530384,0.005138951353728771
9,0.003536543110385537,0.0048296647146344185
10,0.003406219184398651,0.004654869437217712
11,0.0032707059290260077,0.004459370858967304
12,0.0031324198935180902,0.0043168137781322
13,0.002996786730363965,0.004201114177703857
14,0.0028629652224481106,0.004081223160028458
15,0.002723502926528454,0.003988408949226141
16,0.0025893168058246374,0.003910894505679607
17,0.0024639165494590998,0.0037985392846167088
18,0.0023482143878936768,0.003702376736328006
19,0.002237522043287754,0.0035890659783035517
20,0.002128282329067588,0.003493038471788168
21,0.002032139105722308,0.0034648252185434103
22,0.0019487547688186169,0.0033945839386433363
23,0.001857877941802144,0.00340256211347878
24,0.0017693787813186646,0.0034172935411334038
25,0.0017064694548025727,0.0034544896334409714
26,0.00163989735301584,0.0034671060275286436
27,0.0015702155651524663,0.0034563085064291954
28,0.0015174229629337788,0.0034606417175382376
29,0.0014579168055206537,0.0034851899836212397
30,0.0014069273602217436,0.0034011956304311752
31,0.0013635545037686825,0.003500902559608221
32,0.0013160796370357275,0.003427766263484955
33,0.0012807160383090377,0.0033359455410391092
34,0.0012478677090257406,0.0032809714321047068
35,0.0012056848499923944,0.003321011085063219
36,0.00117115443572402,0.003324417630210519
37,0.0011362337972968817,0.003066836856305599
38,0.001106441835872829,0.003148461226373911
39,0.0010924655944108963,0.0030997036956250668
40,0.0010593029437586665,0.0030223289504647255
41,0.001029441598802805,0.0030394161585718393
42,0.001014941604807973,0.002878949511796236
43,0.0009915762348100543,0.002720541087910533
44,0.0009740006644278765,0.0027235615998506546
45,0.0009562572813592851,0.0026683176402002573
46,0.0009312191396020353,0.002649442758411169
47,0.0009068109793588519,0.0026004768442362547
48,0.0008908213931135833,0.002380187390372157
49,0.0008615434053353965,0.0023205422330647707
50,0.0008464951533824205,0.002251740312203765
51,0.0008240455063059926,0.0023577623069286346
52,0.0008098588441498578,0.002268795156851411
53,0.0008093977230601013,0.0021199139300733805
54,0.0008042766712605953,0.0021373487543314695
55,0.0007814294076524675,0.002194079337641597
56,0.0007588232983835042,0.002242195885628462
57,0.000750966661144048,0.0019620389211922884
58,0.0007263837032951415,0.0018853646470233798
59,0.0007227514870464802,0.0018399989930912852
60,0.0007049148553051054,0.0017667171778157353
61,0.0006871258374303579,0.00165172026026994
62,0.0006803689757362008,0.0017231436213478446
63,0.0006976525764912367,0.0015447897603735328
64,0.0006599038606509566,0.0014586326433345675
65,0.0006477434653788805,0.0013413229025900364
66,0.000653406954370439,0.0012523987097665668
67,0.0006285706767812371,0.0011602467857301235
68,0.0006452883244492114,0.0012821558630093932
69,0.0006090406677685678,0.001262555830180645
70,0.0005992988008074462,0.0012238981435075402
71,0.0005882489494979382,0.0012119598686695099
72,0.0005843656836077571,0.0011923304991796613
73,0.0005718658212572336,0.001016360823996365
74,0.0005587138002738357,0.0010587184224277735
75,0.0005541534046642482,0.0010377157013863325
76,0.0005536687676794827,0.0009061366436071694
77,0.0005460309912450612,0.000995163107290864
78,0.0005267178057692945,0.0009886197512969375
79,0.0005213001277297735,0.0008322287467308342
80,0.0005453044432215393,0.0008068146416917443
81,0.0005245407810434699,0.0007561608799733222
82,0.0005065389559604228,0.0007304158643819392
83,0.0004965732805430889,0.0007414382416754961
84,0.0005032187909819186,0.0007777420687489212
85,0.0005022474797442555,0.0007266643806360662
86,0.0004804722557310015,0.0006920291343703866
87,0.00046963911154307425,0.0006423405720852315
88,0.0004691902722697705,0.0006274986662901938
89,0.00047244736924767494,0.0006217565387487411
90,0.00048136909026652575,0.0006416108226403594
91,0.00045957465772517025,0.0006471391534432769
92,0.00045477255480363965,0.0006483402685262263
93,0.00046455636038444936,0.0006233773892745376
94,0.000456081674201414,0.0006625259993597865
95,0.00044904282549396157,0.0005898601957596838
96,0.00043495168210938573,0.000582258275244385
97,0.0004252664220985025,0.0006339497631415725
98,0.0004319407162256539,0.0005701775080524385
99,0.0004245246818754822,0.000559916952624917
100,0.0004254454979673028,0.0005915251676924527
